date,map,result,kills,deaths,assists,hs,hs_percent,kd,kr,mvps,adr,first_kills,first_deaths,entry_count,entry_wins,rounds_played,overtime,match_duration_min,my_team_score,enemy_team_score,round_difference
2025-11-07 14:31:41,de_mirage,Loss,4,21,7,1,25.0,0.19,0.19,0,47.9,2,6,8,2,21,False,35.8,13,8,5
2025-11-07 12:15:46,de_dust2,Loss,18,18,8,11,61.0,1.0,0.82,1,98.6,2,3,5,2,22,False,33.1,13,9,4
2025-11-07 11:43:51,de_train,Loss,9,15,9,5,56.0,0.6,0.47,1,76.3,0,2,2,0,19,False,27.2,13,6,7
2025-11-06 21:31:54,de_mirage,Loss,15,18,11,9,60.0,0.83,0.62,1,69.2,2,5,7,2,24,False,38.1,13,11,2
2025-11-06 18:40:52,de_dust2,Win,20,16,6,13,65.0,1.25,0.87,3,97.4,4,0,4,4,23,False,33.3,10,13,-3
2025-11-06 17:19:26,de_train,Loss,24,27,14,12,50.0,0.89,0.67,2,79.9,3,3,6,3,36,True,63.7,19,17,2
2025-11-05 23:06:32,de_mirage,Win,11,14,8,5,45.0,0.79,0.52,0,72.6,2,1,3,2,21,False,32.5,8,13,-5
2025-11-04 22:23:21,de_overpass,Win,13,20,7,8,62.0,0.65,0.54,3,59.9,3,7,10,3,24,False,44.3,13,11,2
2025-11-03 21:49:19,de_mirage,Loss,22,17,7,12,55.0,1.29,0.96,1,108.3,5,2,7,5,23,False,39.5,13,10,3
2025-11-03 10:38:25,de_train,Loss,12,20,8,5,42.0,0.6,0.5,1,71.7,1,3,4,1,24,False,38.1,11,13,-2
2025-11-02 13:49:51,de_mirage,Loss,21,17,9,14,67.0,1.24,0.88,1,101.6,3,3,6,3,24,False,34.2,13,11,2
2025-11-02 13:17:43,de_dust2,Win,18,8,5,9,50.0,2.25,1.38,5,127.2,1,1,2,1,13,False,23.5,0,13,-13
2025-11-02 12:38:16,de_mirage,Win,13,15,5,8,62.0,0.87,0.59,4,77.6,2,2,4,2,22,False,34.7,13,9,4
2025-11-02 10:13:51,de_dust2,Win,14,19,7,9,64.0,0.74,0.58,2,65.5,1,4,5,1,24,False,39.7,11,13,-2
2025-10-31 16:58:56,de_nuke,Win,21,14,9,8,38.0,1.5,0.95,3,112.4,1,3,4,1,22,False,40.4,9,13,-4
2025-10-31 08:51:21,de_mirage,Win,17,14,3,7,41.0,1.21,0.81,3,85.9,2,2,4,2,21,False,37.4,13,8,5
2025-10-30 09:49:13,de_mirage,Win,17,19,5,12,71.0,0.89,0.74,2,79.2,3,4,7,3,23,False,32.8,10,13,-3
2025-10-30 09:14:05,de_train,Loss,8,16,3,5,62.0,0.5,0.42,1,53.5,2,4,6,2,19,False,26.8,6,13,-7
2025-10-29 17:26:30,de_overpass,Loss,16,23,8,7,44.0,0.7,0.55,3,75.6,2,4,6,2,29,True,52.8,16,13,3
